DATE,HE,Trading_Hub,Renewable_Type,MW
04/08/2024,1,SP15,Wind,1894.857229642646
04/08/2024,2,SP15,Wind,2275.3714858927633
04/08/2024,3,SP15,Wind,2208.1410408128027
04/08/2024,4,SP15,Wind,2182.12782126587
04/08/2024,5,SP15,Wind,2179.1052538495846
04/08/2024,6,SP15,Wind,2065.6974841180504
04/08/2024,7,SP15,Wind,1739.4399967432737
04/08/2024,8,SP15,Wind,1489.2184871170323
04/08/2024,9,SP15,Wind,1213.4882655926876
04/08/2024,10,SP15,Wind,907.8239714150608
04/08/2024,11,SP15,Wind,961.8531287206772
04/08/2024,12,SP15,Wind,847.1453357773204
04/08/2024,13,SP15,Wind,1082.4770999201164
04/08/2024,14,SP15,Wind,1202.5010393639463
04/08/2024,15,SP15,Wind,1370.2944873575248
04/08/2024,16,SP15,Wind,1454.65376343652
04/08/2024,17,SP15,Wind,1482.1080951293384
04/08/2024,18,SP15,Wind,1664.4439120207367
04/08/2024,19,SP15,Wind,1823.220543695787
04/08/2024,20,SP15,Wind,1843.9331974785587
04/08/2024,21,SP15,Wind,1861.135845883562
04/08/2024,22,SP15,Wind,1785.8024304053054
04/08/2024,23,SP15,Wind,1731.944716112283
04/08/2024,24,SP15,Wind,1647.439940184203
